HU_ID;Versao;Num_Palavras;Num_Criterios_Aceite;Num_Regras_Negocio;Estrutura_Tecnica (0/1);Clareza_Score (0-10)
HU_0027;Original;70;2;3;0;5.44
HU_0027;Pos_Automatizacao;107;7;4;1;7.41
HU_0028;Original;40;4;2;0;4.86
HU_0028;Pos_Automatizacao;72;9;3;1;7.47
HU_0029;Original;67;1;0;1;4.94
HU_0029;Pos_Automatizacao;78;6;3;1;9.3
HU_0030;Original;107;2;0;1;4.24
HU_0030;Pos_Automatizacao;122;4;3;1;7.17
HU_0031;Original;70;4;0;1;4.74
HU_0031;Pos_Automatizacao;99;6;3;1;7.2
HU_0032;Original;114;3;2;0;6.01
HU_0032;Pos_Automatizacao;134;6;4;1;7.99
HU_0033;Original;78;4;2;0;4.03
HU_0033;Pos_Automatizacao;107;6;3;1;8.34
HU_0034;Original;104;3;1;0;6.64
HU_0034;Pos_Automatizacao;142;6;3;1;7.71
HU_0035;Original;96;3;0;1;6.45
HU_0035;Pos_Automatizacao;115;5;1;1;7.66
HU_0036;Original;53;2;2;0;5.81
HU_0036;Pos_Automatizacao;85;6;3;1;8.72
HU_0037;Original;73;4;2;0;4.28
HU_0037;Pos_Automatizacao;96;8;3;1;7.01
HU_0038;Original;56;3;1;1;5.33
HU_0038;Pos_Automatizacao;88;8;4;1;7.02
HU_0039;Original;49;2;0;0;5.75
HU_0039;Pos_Automatizacao;63;7;1;1;7.1
HU_0040;Original;86;1;2;0;6.05
HU_0040;Pos_Automatizacao;117;3;4;1;8.95
HU_0041;Original;92;2;1;0;6.93
HU_0041;Pos_Automatizacao;127;5;3;1;7.06
HU_0042;Original;82;4;1;0;4.48
HU_0042;Pos_Automatizacao;114;6;3;1;9.18
HU_0043;Original;100;2;1;0;5.05
HU_0043;Pos_Automatizacao;136;5;2;1;7.06
HU_0044;Original;64;4;2;0;6.59
HU_0044;Pos_Automatizacao;104;8;4;1;8.6
HU_0045;Original;91;3;0;0;6.63
HU_0045;Pos_Automatizacao;109;6;3;1;9.41
HU_0046;Original;73;1;0;1;5.3
HU_0046;Pos_Automatizacao;106;5;2;1;8.52
HU_0047;Original;105;1;3;1;4.57
HU_0047;Pos_Automatizacao;116;6;4;1;8.3
HU_0048;Original;108;2;2;0;4.21
HU_0048;Pos_Automatizacao;139;6;5;1;7.78
HU_0049;Original;55;3;2;1;5.23
HU_0049;Pos_Automatizacao;77;7;5;1;7.32
HU_0050;Original;93;4;1;1;5.71
HU_0050;Pos_Automatizacao;115;6;3;1;7.72
HU_0051;Original;95;3;3;0;5.33
HU_0051;Pos_Automatizacao;111;8;6;1;7.42
HU_0052;Original;50;3;2;0;6.46
HU_0052;Pos_Automatizacao;84;6;5;1;7.78
HU_0053;Original;65;2;0;0;4.73
HU_0053;Pos_Automatizacao;90;4;2;1;8.04
HU_0054;Original;120;2;3;0;5.2
HU_0054;Pos_Automatizacao;134;4;4;1;8.95
HU_0055;Original;68;2;3;0;5.67
HU_0055;Pos_Automatizacao;107;4;5;1;7.33
HU_0056;Original;99;3;3;1;6.45
HU_0056;Pos_Automatizacao;137;8;6;1;8.11
HU_0057;Original;60;4;3;0;6.26
HU_0057;Pos_Automatizacao;96;8;6;1;8.21
HU_0058;Original;70;3;3;0;6.14
HU_0058;Pos_Automatizacao;87;7;5;1;7.8
HU_0059;Original;109;1;1;0;4.69
HU_0059;Pos_Automatizacao;141;4;4;1;7.53
HU_0060;Original;93;4;2;1;5.4
HU_0060;Pos_Automatizacao;104;7;4;1;7.97
HU_0061;Original;114;1;3;0;4.02
HU_0061;Pos_Automatizacao;135;5;5;1;9.13
HU_0062;Original;93;2;3;0;4.82
HU_0062;Pos_Automatizacao;118;4;5;1;7.84
HU_0063;Original;91;2;3;0;6.94
HU_0063;Pos_Automatizacao;118;4;5;1;8.48
HU_0064;Original;43;1;3;0;6.6
HU_0064;Pos_Automatizacao;58;3;5;1;7.95
HU_0065;Original;67;4;2;0;6.28
HU_0065;Pos_Automatizacao;89;8;4;1;7.63
HU_0066;Original;50;4;0;1;5.62
HU_0066;Pos_Automatizacao;90;8;1;1;8.63
HU_0067;Original;45;1;1;0;6.52
HU_0067;Pos_Automatizacao;74;4;2;1;7.32
HU_0068;Original;54;2;3;1;4.77
HU_0068;Pos_Automatizacao;75;5;6;1;8.52
HU_0069;Original;54;2;2;0;5.74
HU_0069;Pos_Automatizacao;93;6;5;1;8.69
HU_0070;Original;88;4;1;0;5.78
HU_0070;Pos_Automatizacao;124;7;2;1;8.74
HU_0071;Original;78;1;0;0;5.6
HU_0071;Pos_Automatizacao;109;5;1;1;8.26
HU_0072;Original;83;1;3;0;4.32
HU_0072;Pos_Automatizacao;123;5;6;1;9.23
HU_0073;Original;98;2;3;0;6.2
HU_0073;Pos_Automatizacao;138;6;6;1;9.02
HU_0074;Original;108;4;3;0;6.48
HU_0074;Pos_Automatizacao;136;8;5;1;9.13
HU_0075;Original;51;3;3;0;6.25
HU_0075;Pos_Automatizacao;79;8;5;1;7.07
HU_0076;Original;81;2;3;0;5.06
HU_0076;Pos_Automatizacao;99;6;5;1;9.2
HU_0077;Original;75;1;1;0;4.72
HU_0077;Pos_Automatizacao;98;6;4;1;8.9
HU_0078;Original;100;4;3;0;4.28
HU_0078;Pos_Automatizacao;117;9;6;1;7.61
HU_0079;Original;114;3;3;1;5.59
HU_0079;Pos_Automatizacao;137;7;5;1;8.76
HU_0080;Original;74;3;2;0;4.36
HU_0080;Pos_Automatizacao;90;7;3;1;8.86
HU_0081;Original;63;2;1;1;5.45
HU_0081;Pos_Automatizacao;96;6;2;1;9.08
HU_0082;Original;77;2;2;0;4.91
HU_0082;Pos_Automatizacao;109;5;4;1;7.11
HU_0083;Original;46;3;1;1;6.61
HU_0083;Pos_Automatizacao;71;5;2;1;8.44
HU_0084;Original;100;4;3;0;4.55
HU_0084;Pos_Automatizacao;111;8;5;1;7.29
HU_0085;Original;48;4;3;0;5.73
HU_0085;Pos_Automatizacao;79;6;4;1;7.37
HU_0086;Original;112;3;0;0;4.36
HU_0086;Pos_Automatizacao;146;8;3;1;8.49
HU_0087;Original;119;2;3;0;6.73
HU_0087;Pos_Automatizacao;138;7;5;1;8.42
HU_0088;Original;47;1;1;1;4.63
HU_0088;Pos_Automatizacao;78;3;2;1;7.6
HU_0089;Original;110;1;1;0;5.23
HU_0089;Pos_Automatizacao;142;6;3;1;7.08
HU_0090;Original;76;3;3;0;6.06
HU_0090;Pos_Automatizacao;115;7;6;1;8.47
HU_0091;Original;65;4;0;1;4.67
HU_0091;Pos_Automatizacao;79;8;1;1;7.18
HU_0092;Original;61;3;2;0;4.37
HU_0092;Pos_Automatizacao;93;7;5;1;8.01
HU_0093;Original;74;4;3;0;5.79
HU_0093;Pos_Automatizacao;112;9;6;1;7.81
HU_0094;Original;72;1;0;0;6.89
HU_0094;Pos_Automatizacao;108;3;3;1;9.05
HU_0095;Original;113;1;1;0;5.56
HU_0095;Pos_Automatizacao;137;5;2;1;9.49
HU_0096;Original;95;4;0;0;5.04
HU_0096;Pos_Automatizacao;115;8;3;1;7.26
HU_0097;Original;60;3;3;1;5.49
HU_0097;Pos_Automatizacao;91;8;6;1;7.09
HU_0098;Original;51;3;2;0;4.35
HU_0098;Pos_Automatizacao;85;8;5;1;9.06
HU_0099;Original;40;4;3;0;4.56
HU_0099;Pos_Automatizacao;61;9;6;1;8.11
HU_0100;Original;46;2;2;1;4.39
HU_0100;Pos_Automatizacao;65;7;5;1;8.21
HU_0101;Original;43;2;1;0;5.65
HU_0101;Pos_Automatizacao;70;7;2;1;7.56
HU_0102;Original;54;4;0;1;6.5
HU_0102;Pos_Automatizacao;79;8;3;1;8.76
HU_0103;Original;93;4;3;0;5.37
HU_0103;Pos_Automatizacao;107;9;4;1;9.3
HU_0104;Original;105;2;0;0;6.32
HU_0104;Pos_Automatizacao;142;7;2;1;9.34
HU_0105;Original;104;3;0;0;6.18
HU_0105;Pos_Automatizacao;140;8;1;1;8.12
HU_0106;Original;101;3;2;1;6.29
HU_0106;Pos_Automatizacao;123;8;4;1;9.17
HU_0107;Original;70;4;1;0;4.13
HU_0107;Pos_Automatizacao;103;9;4;1;9.28
HU_0108;Original;88;4;1;0;6.89
HU_0108;Pos_Automatizacao;102;8;2;1;9.19
HU_0109;Original;96;1;3;0;6.17
HU_0109;Pos_Automatizacao;119;4;4;1;8.17
HU_0110;Original;73;3;3;1;4.24
HU_0110;Pos_Automatizacao;93;8;5;1;8.57
HU_0111;Original;102;1;0;0;5.89
HU_0111;Pos_Automatizacao;141;5;1;1;8.87
HU_0112;Original;95;1;0;0;4.5
HU_0112;Pos_Automatizacao;114;3;1;1;7.81
HU_0113;Original;47;3;2;0;5.29
HU_0113;Pos_Automatizacao;64;8;5;1;8.7
HU_0114;Original;63;2;1;0;5.83
HU_0114;Pos_Automatizacao;85;5;3;1;9.28
HU_0115;Original;58;2;3;1;4.76
HU_0115;Pos_Automatizacao;76;4;5;1;9.25
HU_0116;Original;109;2;0;0;6.84
HU_0116;Pos_Automatizacao;137;6;3;1;9.41
HU_0117;Original;72;4;2;0;7.0
HU_0117;Pos_Automatizacao;109;9;3;1;7.59
HU_0118;Original;113;3;2;1;4.89
HU_0118;Pos_Automatizacao;149;8;4;1;7.02
HU_0119;Original;46;4;2;0;5.82
HU_0119;Pos_Automatizacao;67;7;5;1;7.48
HU_0120;Original;72;2;0;1;5.94
HU_0120;Pos_Automatizacao;91;7;1;1;8.45
